,zipcode,bike shops,bike rental,bike trail,national park,park,state park,bike outlets,bike uses
0,20001,0,6,0,0,20,0,6,20
1,20002,0,3,0,0,6,0,3,6
2,20003,1,5,1,0,7,0,6,8
3,20004,1,19,1,4,19,0,20,24
4,20005,2,23,2,0,23,0,25,25
5,20006,0,19,0,1,32,0,19,33
6,20007,0,0,0,0,6,0,0,6
7,20008,0,2,0,0,13,0,2,13
8,20009,2,16,0,0,15,0,18,15
9,20010,0,7,0,0,14,0,7,14
10,20016,0,0,0,0,4,0,0,4
11,20024,1,5,1,0,14,0,6,15
12,20036,0,20,1,1,25,0,20,27
13,20037,1,8,0,3,17,0,9,20
14,20045,1,19,1,2,18,0,20,21
15,20052,1,20,0,0,28,0,21,28
16,20053,0,5,0,2,20,0,5,22
17,20057,2,4,0,1,5,0,6,6
18,20064,0,2,0,0,1,0,2,1
19,20202,0,8,0,2,20,0,8,22
20,20204,0,6,0,2,18,0,6,20
21,20228,0,5,0,3,12,0,5,15
22,20230,1,15,1,3,16,0,16,20
23,20240,0,11,0,3,25,0,11,28
24,20245,0,10,0,5,20,0,10,25
25,20260,1,10,1,1,17,0,11,19
26,20317,0,0,0,0,1,0,0,1
27,20390,1,4,1,0,7,0,5,8
28,20405,0,15,0,3,31,0,15,34
29,20418,0,7,0,6,18,0,7,24
30,20427,1,19,0,0,31,0,20,31
31,20506,1,18,1,1,30,0,19,32
32,20510,1,9,0,1,18,0,10,19
