,zipcode,venues,rating,signals,wsignals
0,20001,6,24.0,236,1921.9
1,20002,0,0.0,0,0.0
2,20003,9,55.9,1517,13132.599999999999
3,20004,11,41.3,552,4301.1
4,20005,16,74.8,977,7381.0
5,20006,16,66.39999999999999,627,4906.6
6,20007,0,0.0,0,0.0
7,20008,5,29.9,220,1634.5
8,20009,17,75.5,1101,8878.5
9,20010,9,41.599999999999994,888,7597.1
10,20016,1,0.0,0,0.0
11,20024,1,6.3,38,239.4
12,20036,25,145.5,2916,24514.5
13,20037,3,6.3,20,126.0
14,20045,11,39.8,277,2042.7
15,20052,21,67.9,684,5365.6
16,20053,7,13.100000000000001,35,239.0
17,20057,2,7.5,91,682.5
18,20064,0,0.0,0,0.0
19,20202,9,38.2,137,1109.4
20,20204,5,13.8,45,335.5
21,20228,4,13.8,60,397.79999999999995
22,20230,5,11.4,35,194.60000000000002
23,20240,2,0.0,0,0.0
24,20245,1,0.0,0,0.0
25,20260,10,28.9,132,1000.3
26,20317,0,0.0,0,0.0
27,20390,8,55.9,1517,13132.599999999999
28,20405,5,14.7,22,166.7
29,20418,1,0.0,0,0.0
30,20427,24,109.3,1005,7696.099999999999
31,20506,4,14.2,105,832.4999999999999
32,20510,2,6.6,32,211.2
